Key,Chinese
Bulletinboard/Bring,帶給居民<npcName> <itemAmount> 個<itemName>
Bulletinboard/BringCaptured,帶上捕獲
Bulletinboard/Capture,將捕獲的<animalName>帶到出售點，以增加報酬。
Bulletinboard/Collect,收集 <itemAmount> 個<itemName> <amountCollected>
Bulletinboard/DayAgo,一天前
Bulletinboard/DaysAgo,幾天前
Bulletinboard/Hunt,狩獵 <animalAmount> 只<animalName> <amountCompleted>
Bulletinboard/MonthAgo,一個月前
Bulletinboard/MonthsAgo,幾個月前
Bulletinboard/Photograph,給<animalsInPhoto>拍照
Bulletinboard/Show,展示照片給<npcName>
Bulletinboard/TalkTo,與<npcName>交談
Bulletinboard/ThePhotograph,拍照
Bulletinboard/ToADropOffPoint,到出售點以增加報酬
Bulletinboard/Today,今天
Bulletinboard/WeekAgo,一週前
Bulletinboard/WeeksAgo,幾周前
Bulletinboard/YearAgo,一年前
Bulletinboard/YearsAgo,幾年前
Bulletinboard/Yesterday,昨天
Cutscene/Narration_000,很久以前，一切都在南移。
Cutscene/Narration_001,基本上每個人都被迫遷到南部城市。
Cutscene/Narration_002,南部城市的人們過著寒冷而悲慘的生活。
Cutscene/Narration_003,你出生在這裡。
Cutscene/Narration_004,大多數人沒有離開的慾望。
Cutscene/Narration_005,但你有，並且強過其他任何想法...
Cutscene/Narration_006,尋找一個年輕的實幹家來陪我回老家，<IslandName>。þþþþ航程和住宿將是您的起步補償金。þþþþ有興趣的人，請在夏天一號到飛艇碼頭與我見面。þ
Cutscene/Narration_007,您今天出發前往<IslandName>。
Cutscene/Narration_008,你可能已經找到出路了。
DescriptionDetails/Title_AddsATemporary,新增一個臨時點
DescriptionDetails/Title_Bury,掩埋
DescriptionDetails/Title_Consumable,耗材
DescriptionDetails/Title_Consuming,消費
DescriptionDetails/Title_ContinuesToProduce,繼續生產
DescriptionDetails/Title_Damage,傷害
DescriptionDetails/Title_GrowsOver,生長
DescriptionDetails/Title_Health,健康
DescriptionDetails/Title_Plantable,適宜種植
DescriptionDetails/Title_Produces,產生
DescriptionDetails/Title_Restores,恢復
DescriptionDetails/Title_Stamina,耐力
DescriptionDetails/Title_TilledSoil,耕地
DescriptionDetails/Title_Weapon,武器
DescriptionDetails/Title_days,天
Generic/CompleteHuntingRequest_Intro_000,感謝您照顧了<requestedHuntTarget>。
Generic/CompleteHuntingRequest_Intro_001,那些阿爾法生物真的很危險，會造成很大的破壞。
Generic/CompleteHuntingRequest_Intro_002,來吧，按照承諾領取<BulletinBoardReward>。
Generic/CompleteHuntingRequest_Intro_003,
Generic/NPC_000_RandomConvo_000_Intro,<haha>這有點讓人不知所措！
Generic/RandomConvo_000_Intro_000,<thinking>博物館對社會非常重要。
Generic/RandomConvo_000_Intro_001,想像一下，如果我們把所有的舊東西都放在發現它們的地方？
Generic/RandomConvo_000_Intro_002,<worried>它會到處都是！
Generic/RandomConvo_000_Intro_003,<shocked>天啊！
Generic/RandomConvo_001_Intro_000,<yes>我真的很喜歡記錄這個島上的所有新物種。
Generic/RandomConvo_001_Intro_001,<glee>說實話，歸檔檔案幾乎同樣令人愉快！
Generic/RandomConvo_002_Intro_000,<worried>魚類和昆蟲很有趣，但我真的不喜歡碰...
Generic/RandomConvo_002_Intro_001,<yes>不過沒關係。
Generic/RandomConvo_002_Intro_002,<proud>畢竟博物館裡的東西是用來看的，不是用來摸的。
Generic/RandomConvo_003_Intro_000,<thinking>我一直在想是否有辦法對空氣進行編目？
Generic/RandomConvo_003_Intro_001,<PlayerName>，你有興趣看一個空氣展覽嗎？
Generic/RandomConvo_003_Option_000,哦耶！
Generic/RandomConvo_003_Option_001,並不真實
Generic/RandomConvo_003_Response_000_000,<glee> 看，我有一種感覺，你是個傻瓜！
Generic/RandomConvo_003_Response_000_001,我去城裡問問看能不能找到更多有興趣的人！ <glee>þ
Generic/RandomConvo_003_Response_001_000,<sigh>þ啊，真可惜。 我已經在一些罐子里收集了一些標本...
Generic/RandomConvo_004_Intro_000,<thinking>文書工作可能非常耗時。
Generic/RandomConvo_004_Intro_001,<haha>但他們說，當你玩得開心時，時光飛逝！
Generic/RandomConvo_005_Intro_000,<yes>如果你拍了一張很棒的照片並且想炫耀它，請來博物館展示它。
Generic/RandomConvo_005_Intro_001,<yes>別擔心，我會為您填寫所需的表格！
Generic/RandomConvo_005_Intro_002,<glee>這將是我絕對的榮幸！
Generic/RandomConvo_006_Intro_000,<proud>很高興有個一站式服務來觀看這裡所有有趣的東西。
Generic/RandomConvo_006_Intro_001,什麼？
Generic/RandomConvo_006_Intro_002,<shocked>John的雜貨店？
Generic/RandomConvo_006_Intro_003,<no>不不不。
Generic/RandomConvo_006_Intro_004,<angry>我說的是博物館！
Generic/RandomConvo_007_Intro_000,<glee><IslandName>上有這許多新物種值得研究！
Generic/RandomConvo_007_Intro_001,<worried>噢不！
Generic/RandomConvo_007_Intro_002,<no>我意思不是說我要把它們切開！
Generic/RandomConvo_007_Intro_003,<proud>在<IslandName>博物館，我們只能通過觀察來學習！
Generic/RandomConvo_008_Intro_000,<thinking>想像一下，如果我們可以把<IslandName>上的所有東西都帶進博物館！
Generic/RandomConvo_008_Intro_001,<proud>這樣，當人們想看某樣東西時，他們就可以直接去那個片區！
Generic/RandomConvo_009_Intro_000,學習知識只是我的工作。
Generic/RandomConvo_009_Intro_001,<yes>我還有很多其他的愛好。
Generic/RandomConvo_009_Intro_002,<glee>例如，在業餘時間，我喜歡談論我一直在研究的所有事情。
Generic/RandomConvo_010_Intro_000,<thinking>我想有一天我們會看到博物館的博物館。
Generic/RandomConvo_010_Intro_001,<yes>真正的社會巔峰。
Generic/RandomConvo_010_Intro_002,看這些知識，這些展品，這些資料！
Generic/RandomConvo_010_Intro_003,<glee>真漂亮。
Generic/RandomConvo_011_Intro_000,<thinking>我希望有一天能體驗更多的旅行。
Generic/RandomConvo_011_Intro_001,<no>當然不需要我前往其他任何地方。
Generic/RandomConvo_011_Intro_002,<pumped>我們可以從世界各地收集展品，然後直接送到<IslandName>！
Generic/RandomConvo_012_Intro_000,<no>我不會經常外出。
Generic/RandomConvo_012_Intro_001,<worried>那裡治安不太穩定，所以可能有點難。
Generic/RandomConvo_012_Intro_002,<worried>所有的植物、動物和人都在隨時隨地做他們想做的事！
Generic/RandomConvo_012_Intro_003,<shocked>一團亂麻！
Generic/RandomConvo_013_Intro_000,<thinking>有很多不同的方式可以用來打理和組裝。
Generic/RandomConvo_013_Intro_001,<yes>動手做一做，很好玩的。
Generic/RandomConvo_013_Intro_002,<pumped>有時我會按字母順序重新排列所有內容，或者按高度，有時甚至按氣味！
Generic/RandomConvo_013_Intro_003,<yes>最後一個真的很容易做到，因為所有東西聞起來都像消毒劑，也應該像消毒劑。þ
Generic/RandomConvo_014_Intro_000,<shy>有時我喜歡爬進一個空箱子，假裝自己是展品。
Generic/RandomConvo_014_Intro_001,<haha>我也是一個完美的候選人，因為我從不試圖逃避。
Generic/RandomConvo_015_Intro_000,<shy>有時候我真的站著不動，假裝自己是一尊雕像……
Generic/RandomConvo_015_Intro_001,<haha>這讓我感覺像大理石一樣！þ
Generic/RandomConvo_015_Intro_002,<PlayerName>，只是給你一點博物館式幽默。
Generic/RandomConvo_016_Intro_000,<thinking>整天被人盯著一定很好。
Generic/RandomConvo_016_Intro_001,<worried>不過，我認為我無法應付這種關注。
Generic/RandomConvo_016_Intro_002,<thinking>不過，如果人們排成一個有序的隊伍，也許就不會那麼嚇到我了？
Generic/RandomConvo_017_Intro_000,<yes>我是音樂的忠實粉絲。
Generic/RandomConvo_017_Intro_001,<no>當然我不會聽的，那太吵了。
Generic/RandomConvo_017_Intro_002,但是有很多不同的方式來編目和排序它。
Generic/RandomConvo_017_Intro_003,<thinking>您可以按藝術家、流派、長度、每分鐘節拍...
Generic/RandomConvo_017_Intro_004,<glee>這麼多可能性！
Generic/RandomConvo_018_Intro_000,<glee>多麼美好的一天啊！
Generic/RandomConvo_018_Intro_001,<yes>在室內學習的完美天氣！
Generic/RandomConvo_019_Intro_000,<glee>我就是喜歡新紙的味道。
Generic/RandomConvo_019_Intro_001,<yes>一切都整齊排列，排隊準備工作。
Generic/RandomConvo_019_Intro_002,<pumped>有時我覺得寫它很糟糕，但我們在這裡做著非常重要的工作。
Generic/RandomConvo_019_Intro_003,<yes>所以這一切都值得！
Generic/RandomConvo_020_Intro_000,如果沒有人記錄下來，發生任何事情的意義何在？
Generic/RandomConvo_020_Intro_001,<yes>嘿，<PlayerName>，如果樹林里有一棵樹倒下，請務必告訴我。
InventoryItemDescriptions/InvDesc_0,砍倒樹木和植物。
InventoryItemDescriptions/InvDesc_1,投擲棍子的特技。
InventoryItemDescriptions/InvDesc_10,將水從A點運送到B點
InventoryItemDescriptions/InvDesc_100,很常見的蒼蠅
InventoryItemDescriptions/InvDesc_101,呸。
InventoryItemDescriptions/InvDesc_102,黃色的花。
InventoryItemDescriptions/InvDesc_103,有什麼東西埋在這裡嗎？ 如果哪裡嗶嗶地響在哪裡開挖。
InventoryItemDescriptions/InvDesc_104,一個閃亮的寶石。
InventoryItemDescriptions/InvDesc_105,把它熔鍊成錠。
InventoryItemDescriptions/InvDesc_106,把它熔鍊成錠。
InventoryItemDescriptions/InvDesc_107,看上去很昂貴。似乎並不。
InventoryItemDescriptions/InvDesc_108,有趣的小蜘蛛。
InventoryItemDescriptions/InvDesc_109,它不能飛。
InventoryItemDescriptions/InvDesc_11,怎麼樣？
InventoryItemDescriptions/InvDesc_110,非常明亮的燈光。
InventoryItemDescriptions/InvDesc_111,鬆脆或柔軟，取決於你。
InventoryItemDescriptions/InvDesc_112,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_113,鐵錠
InventoryItemDescriptions/InvDesc_114,銅錠
InventoryItemDescriptions/InvDesc_115,更快的熔爐，還可以熔鍊鐵礦石
InventoryItemDescriptions/InvDesc_116,怎麼了，醫務人員呢？
InventoryItemDescriptions/InvDesc_117,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_118,超酷的十字架。
InventoryItemDescriptions/InvDesc_119,投擲棍子的特技。
InventoryItemDescriptions/InvDesc_12,用石頭在磨石機中製成
InventoryItemDescriptions/InvDesc_120,讓頭部保暖
InventoryItemDescriptions/InvDesc_121,讓頭部保暖
InventoryItemDescriptions/InvDesc_122,彈跳！
InventoryItemDescriptions/InvDesc_123,這是爆米花
InventoryItemDescriptions/InvDesc_124,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_125,售賣農業用具和種子的商店契約。
InventoryItemDescriptions/InvDesc_126,將水從A點運送到B點
InventoryItemDescriptions/InvDesc_127,嘿這紅色，好喜慶。
InventoryItemDescriptions/InvDesc_128,它是空的。把它裝滿水。
InventoryItemDescriptions/InvDesc_129,地下礦井的契約。 一個很容易找到礦石的好地方。
InventoryItemDescriptions/InvDesc_13,在這上面扔一些食材。 然後它開始烤制了。
InventoryItemDescriptions/InvDesc_130,會照亮，但功率有限。
InventoryItemDescriptions/InvDesc_131,單人坐的椅子。
InventoryItemDescriptions/InvDesc_132,一張木桌。
InventoryItemDescriptions/InvDesc_133,在你的床邊放一張木桌。
InventoryItemDescriptions/InvDesc_134,把東西在這裡。
InventoryItemDescriptions/InvDesc_135,一張木桌。
InventoryItemDescriptions/InvDesc_136,一張單人床。
InventoryItemDescriptions/InvDesc_137,一把扶手椅
InventoryItemDescriptions/InvDesc_138,一張沙發
InventoryItemDescriptions/InvDesc_139,一把扶手椅
InventoryItemDescriptions/InvDesc_14,可用於製作東西的骨頭。
InventoryItemDescriptions/InvDesc_140,綠色沙發
InventoryItemDescriptions/InvDesc_141,一把白色單人椅
InventoryItemDescriptions/InvDesc_142,一張白色的小咖啡桌。
InventoryItemDescriptions/InvDesc_143,一張白色的大桌子。
InventoryItemDescriptions/InvDesc_144,一張長的咖啡桌。
InventoryItemDescriptions/InvDesc_145,一把白色雙人座椅。
InventoryItemDescriptions/InvDesc_146,一張雙人床。
InventoryItemDescriptions/InvDesc_147,一個單抽屜床邊柜。
InventoryItemDescriptions/InvDesc_148,一個單抽屜柜。
InventoryItemDescriptions/InvDesc_149,一個高抽屜柜。
InventoryItemDescriptions/InvDesc_15,一些鋪地的磚。
InventoryItemDescriptions/InvDesc_150,使用契約建立一個傢俱店，為你的房子增添傢俱。
InventoryItemDescriptions/InvDesc_151,床。
InventoryItemDescriptions/InvDesc_152,一個牀頭櫃。
InventoryItemDescriptions/InvDesc_153,一把椅子
InventoryItemDescriptions/InvDesc_154,一張咖啡桌
InventoryItemDescriptions/InvDesc_155,一組抽屜柜
InventoryItemDescriptions/InvDesc_156,一張大桌子。
InventoryItemDescriptions/InvDesc_157,點亮房子。
InventoryItemDescriptions/InvDesc_158,坐下歇腳的。
InventoryItemDescriptions/InvDesc_159,一個沙發，兩個座位。
InventoryItemDescriptions/InvDesc_16,5，6，7，8
InventoryItemDescriptions/InvDesc_160,一張白色椅子。
InventoryItemDescriptions/InvDesc_161,一張白色軟椅
InventoryItemDescriptions/InvDesc_162,一個白色小牀頭櫃。
InventoryItemDescriptions/InvDesc_163,一個白色小牀頭櫃。
InventoryItemDescriptions/InvDesc_164,一個白色抽屜柜
InventoryItemDescriptions/InvDesc_165,蕨類植物花瓶
InventoryItemDescriptions/InvDesc_166,紫色花瓶
InventoryItemDescriptions/InvDesc_167,黃荊花瓶
InventoryItemDescriptions/InvDesc_168,廚房櫃子
InventoryItemDescriptions/InvDesc_169,廚房烤箱
InventoryItemDescriptions/InvDesc_17,酸酸地但很美味。
InventoryItemDescriptions/InvDesc_170,廚房水槽
InventoryItemDescriptions/InvDesc_171,一把椅子
InventoryItemDescriptions/InvDesc_172,一個簡短的桌子
InventoryItemDescriptions/InvDesc_173,一個常設燈
InventoryItemDescriptions/InvDesc_174,一把扶手椅
InventoryItemDescriptions/InvDesc_175,一張床。
InventoryItemDescriptions/InvDesc_176,一個牀頭櫃。
InventoryItemDescriptions/InvDesc_177,一把單人椅子。
InventoryItemDescriptions/InvDesc_178,一盞燈
InventoryItemDescriptions/InvDesc_179,一張沙發，兩個座位。
InventoryItemDescriptions/InvDesc_18,在露營時，你可以使用！
InventoryItemDescriptions/InvDesc_180,一張長條桌子。
InventoryItemDescriptions/InvDesc_181,抽屜柜。
InventoryItemDescriptions/InvDesc_182,給鳥留下一點點吧。
InventoryItemDescriptions/InvDesc_183,比普通鎬挖的更快更好
InventoryItemDescriptions/InvDesc_184,一個真正好的鎬頭。
InventoryItemDescriptions/InvDesc_185,我一直想有一個。
InventoryItemDescriptions/InvDesc_186,去太空的褲子。
InventoryItemDescriptions/InvDesc_187,去太空的襯衫。
InventoryItemDescriptions/InvDesc_188,去太空的鞋子
InventoryItemDescriptions/InvDesc_189,全壘打！
InventoryItemDescriptions/InvDesc_19,太好了。
InventoryItemDescriptions/InvDesc_190,深色褲子
InventoryItemDescriptions/InvDesc_191,好黑暗。
InventoryItemDescriptions/InvDesc_192,好黑暗。
InventoryItemDescriptions/InvDesc_193,看起來他們的短褲有麻煩了。
InventoryItemDescriptions/InvDesc_194,無肩。
InventoryItemDescriptions/InvDesc_195,綁起來。
InventoryItemDescriptions/InvDesc_196,全壘打！
InventoryItemDescriptions/InvDesc_197,一種少見的貝殼
InventoryItemDescriptions/InvDesc_198,一種常見的貝殼
InventoryItemDescriptions/InvDesc_199,一種罕見的貝殼。
InventoryItemDescriptions/InvDesc_2,能抓住那些令人毛骨悚然的爬行動物。
InventoryItemDescriptions/InvDesc_20,有劇毒。是不是很可愛？
InventoryItemDescriptions/InvDesc_200,好魚。但不是唇指鱸。
InventoryItemDescriptions/InvDesc_201,海洋魚類是藍色的。
InventoryItemDescriptions/InvDesc_202,它討厭星期一。
InventoryItemDescriptions/InvDesc_203,是鱸魚還是金肚
InventoryItemDescriptions/InvDesc_204,傑克？
InventoryItemDescriptions/InvDesc_205,這是一條三尖鱾。
InventoryItemDescriptions/InvDesc_206,它的頭是扁的，眼睛在上面。
InventoryItemDescriptions/InvDesc_207,我會叫他特雷弗。
InventoryItemDescriptions/InvDesc_208,一條巨大的魚！
InventoryItemDescriptions/InvDesc_209,Yarr。
InventoryItemDescriptions/InvDesc_21,如果你烹飪過它就會很好吃。 如果你不烹飪，味道就差了點。
InventoryItemDescriptions/InvDesc_210,一堆粘糊糊的草。燒熱可得樹脂。
InventoryItemDescriptions/InvDesc_211,浮筏。
InventoryItemDescriptions/InvDesc_212,在製作臺桌使用樹脂。從燒焦的鬣刺簇絨得到。
InventoryItemDescriptions/InvDesc_213,一種很輕的木頭
InventoryItemDescriptions/InvDesc_214,帶刺的仙人掌果。
InventoryItemDescriptions/InvDesc_215,仙人掌的果實。
InventoryItemDescriptions/InvDesc_216,更先進的斧頭。
InventoryItemDescriptions/InvDesc_217,一個非常強大的斧頭。
InventoryItemDescriptions/InvDesc_218,穿著它跳得更高。
InventoryItemDescriptions/InvDesc_219,穿著它游得更快。
InventoryItemDescriptions/InvDesc_22,用來把東西釘在一起。
InventoryItemDescriptions/InvDesc_220,穿著走路速度更快。
InventoryItemDescriptions/InvDesc_221,一件白色領子的黑色連衣裙。
InventoryItemDescriptions/InvDesc_222,藍色的，穿著舒適。
InventoryItemDescriptions/InvDesc_223,把它放置在淺水中。放置一天。
InventoryItemDescriptions/InvDesc_224,泥濘的螃蟹
InventoryItemDescriptions/InvDesc_225,又甜又粘。
InventoryItemDescriptions/InvDesc_226,從這個收集蜂蜜。每星期可以採收一次。
InventoryItemDescriptions/InvDesc_227,一個小型蜂蜜製造工廠。蜂后在哪裡呢？
InventoryItemDescriptions/InvDesc_228,蜂后。可以繁衍出一個蜂群。
InventoryItemDescriptions/InvDesc_229,有劇毒。是不是很可愛？
InventoryItemDescriptions/InvDesc_23,這塊石頭在發亮。可能有東西在裡面。
InventoryItemDescriptions/InvDesc_230,8條腿。比看起來更友好
InventoryItemDescriptions/InvDesc_231,太臭了！
InventoryItemDescriptions/InvDesc_232,這東西餓的時候會殺死蜘蛛。
InventoryItemDescriptions/InvDesc_233,這真是罕見的大！
InventoryItemDescriptions/InvDesc_234,它有一條小尾巴。
InventoryItemDescriptions/InvDesc_235,他在漂移，Mr. J.
InventoryItemDescriptions/InvDesc_236,瞄準並射擊。
InventoryItemDescriptions/InvDesc_237,像龍蝦，但它是代替品-澳洲淡水龍蝦。
InventoryItemDescriptions/InvDesc_238,耶。粉色和短褲。
InventoryItemDescriptions/InvDesc_239,粉色忍者鞋子。
InventoryItemDescriptions/InvDesc_24,沒人知道
InventoryItemDescriptions/InvDesc_240,一件普通的粉紅色T恤衫
InventoryItemDescriptions/InvDesc_241,藍色忍者鞋子。
InventoryItemDescriptions/InvDesc_242,一件普通的藍色T恤
InventoryItemDescriptions/InvDesc_243,它一定是紫色的！
InventoryItemDescriptions/InvDesc_244,紫平底鞋
InventoryItemDescriptions/InvDesc_245,像是紫色短褲，但更長一些。
InventoryItemDescriptions/InvDesc_246,鱷魚的鋒利牙齒。
InventoryItemDescriptions/InvDesc_247,它為什麼會發光？
InventoryItemDescriptions/InvDesc_248,我簡直不敢相信我的眼睛。
InventoryItemDescriptions/InvDesc_249,那麼小隻卻那麼大聲。
InventoryItemDescriptions/InvDesc_25,用於花園的小燈。
InventoryItemDescriptions/InvDesc_250,漂亮而光滑的道路
InventoryItemDescriptions/InvDesc_251,把東西放在裡面或外面。
InventoryItemDescriptions/InvDesc_252,它是一種農用小卡車
InventoryItemDescriptions/InvDesc_253,堅韌的綠色靴子
InventoryItemDescriptions/InvDesc_254,是的。棕色的褲子。
InventoryItemDescriptions/InvDesc_255,藍色又溫暖
InventoryItemDescriptions/InvDesc_256,這是襪子還是褲子？
InventoryItemDescriptions/InvDesc_257,它有一件短背心
InventoryItemDescriptions/InvDesc_258,Yup。栗色和褲子。
InventoryItemDescriptions/InvDesc_259,現在幾點了？
InventoryItemDescriptions/InvDesc_26,一些冰冷的巖石。
InventoryItemDescriptions/InvDesc_260,紅色鞋子
InventoryItemDescriptions/InvDesc_261,全都完了
InventoryItemDescriptions/InvDesc_262,黑色和白色的緊身衣。
InventoryItemDescriptions/InvDesc_263,骨蘋果茶
InventoryItemDescriptions/InvDesc_264,5、6、7、8階級
InventoryItemDescriptions/InvDesc_265,建立一個水箱。
InventoryItemDescriptions/InvDesc_266,非常適合做飯。
InventoryItemDescriptions/InvDesc_267,烹飪褲子
InventoryItemDescriptions/InvDesc_268,橙色短褲
